filename,plddt full,plddt VSDI,plddt VSDII,plddt VSDIII,plddt VSDIV,plddt AG,plddt IFM,plddt SF,plddt partner,VSDI,VSDIII,VSDII,VSDIV,AG1,AG2,IFM,SF,iptm,plddt,ptm
_hNaV1.7-alpha-b3_unrelaxed_rank_036_alphafold2_multimer_v3_model_4_seed_015.r4.pdb,80.67354166666667,80.77182608695652,85.02073770491803,85.28192,80.32216,72.87166666666667,63.42666666666667,91.42636363636365,89.94706896551725,16.1581119565375,20.909194006465192,16.1034738177823,12.150328143716942,11.738968438495778,12.650273831028322,8.328018912082273,10.58187473938338,0.793,66.8,0.703
_hNaV1.7-alpha-b3_unrelaxed_rank_039_alphafold2_multimer_v3_model_1_seed_020.r1.pdb,76.48565277777777,77.45426086956522,81.7889344262295,80.63568,78.10536,62.8825,59.10333333333333,81.55727272727273,66.57396551724139,13.347992096191849,20.552000048657064,15.398293606760458,17.412617953656483,11.785748088263215,12.653408592154133,10.0233162675833,10.52473054286902,0.28,62.6,0.622
_hNaV1.7-alpha-b3_unrelaxed_rank_091_alphafold2_multimer_v3_model_3_seed_020.r2.pdb,78.18395138888889,78.2875652173913,82.01803278688526,78.56032,77.09008,68.78166666666667,63.403333333333336,88.0968181818182,66.3548275862069,15.11961223047734,20.403639479269376,15.65901494347585,17.394000431183162,11.220327669012168,13.301905502596234,9.753160359596269,10.723829959487423,0.292,63.2,0.625
_hNaV1.7-alpha-b3_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_024.r5.pdb,81.5226875,82.888,85.12786885245902,85.71064,79.49632000000001,76.02666666666666,70.81,90.85454545454546,89.38764367816093,15.941860117313787,20.85507319574784,15.704296832395904,12.40814962031003,12.128106076383071,12.257215711571694,8.781536596746607,10.774229299583334,0.812,67.8,0.715
_hNaV1.7-alpha-b3_unrelaxed_rank_093_alphafold2_multimer_v3_model_2_seed_020.r2.pdb,76.9876875,75.82834782608695,81.56811475409836,78.17544000000001,76.52736,71.38083333333333,69.66666666666667,86.69590909090908,65.72258620689655,14.348733567810086,20.242628757155035,15.121547209197876,12.459678567282545,11.85745815931897,12.20592012099047,8.91157932131,10.71759138052949,0.223,62.6,0.628
_hNaV1.7-alpha-b3_unrelaxed_rank_064_alphafold2_multimer_v3_model_2_seed_021.r2.pdb,80.01652777777778,79.48182608695652,83.69532786885246,79.64608,79.25928,74.50083333333333,72.87333333333333,88.82090909090908,83.73833333333333,15.08388660127091,20.255578021868445,15.309268565153593,12.035273366234772,12.947588424104314,13.423457416031088,7.90512175744308,10.968700743479149,0.746,65.9,0.699
_hNaV1.7-alpha-b3_unrelaxed_rank_067_alphafold2_multimer_v3_model_2_seed_014.r5.pdb,80.76631944444445,80.32095652173913,85.10762295081966,84.30552,81.06696000000001,73.22,69.23,91.5909090909091,89.73408045977011,14.856063105681798,19.699234553657156,14.674514063504793,19.57700676814512,12.369875262103491,13.58966909089401,8.220847219113125,10.68393588524379,0.789,67.0,0.7
_hNaV1.7-alpha-b3_unrelaxed_rank_009_alphafold2_multimer_v3_model_4_seed_017.r2.pdb,78.83027083333333,77.48278260869566,83.79737704918033,80.49464,80.02047999999999,68.49916666666667,61.20666666666667,90.31,81.80758620689656,13.04607454370854,20.26837304768195,15.49289308037721,12.354261370069842,12.251767097035431,13.12797463434478,8.5174377602657,10.683822256102916,0.756,64.9,0.69
_hNaV1.7-alpha-b3_unrelaxed_rank_028_alphafold2_multimer_v3_model_4_seed_020.r4.pdb,80.08090277777778,80.38208695652175,84.78606557377049,83.82016,78.57712,71.115,61.48,91.6190909090909,88.9046551724138,15.568040917212413,20.03139198857633,15.43655065097122,16.390630768826437,10.947158626785308,13.352758142046907,10.123513767462365,10.36462642838612,0.79,66.3,0.7
_hNaV1.7-alpha-b3_unrelaxed_rank_008_alphafold2_multimer_v3_model_4_seed_024.r1.pdb,79.51234027777778,79.32669565217391,84.79377049180329,82.24224000000001,80.20384,73.485,66.07333333333334,86.06590909090909,86.35988505747127,15.455583618873796,19.8329267885504,15.2166146694986,12.206736418879537,10.66482920632112,13.477820669529626,9.868928766588605,10.714035140879464,0.78,65.4,0.695
_hNaV1.7-alpha-b3_unrelaxed_rank_010_alphafold2_multimer_v3_model_1_seed_021.r0.pdb,67.23895833333334,71.8511304347826,80.58327868852459,72.88544,53.9224,61.33583333333333,48.85333333333333,65.58136363636363,63.30959770114943,13.714214815292925,20.043911619242387,15.709153605462008,13.802351828583417,13.810250504607076,13.9278280072666,11.556556450777194,8.571098879373634,0.271,56.1,0.564
_hNaV1.7-alpha-b3_unrelaxed_rank_065_alphafold2_multimer_v3_model_5_seed_024.r4.pdb,80.58361111111111,80.18452173913043,84.28040983606557,84.36504,79.77352,73.73416666666667,64.85666666666667,91.32863636363636,87.92120689655172,16.185524551277293,20.777409318776968,15.890472208213325,12.155578966055051,11.6868947971649,12.440086856609966,9.695137802011894,10.420988964584886,0.782,66.4,0.702
_hNaV1.7-alpha-b3_unrelaxed_rank_012_alphafold2_multimer_v3_model_1_seed_027.r4.pdb,81.80929861111112,81.02695652173914,85.63516393442623,84.95711999999999,80.27311999999999,79.82916666666667,78.33666666666666,91.52227272727272,89.41488505747127,15.70135997294502,21.04119319335289,15.526243653891305,17.039931220518472,12.580774459467904,12.048988878739992,7.754219818911507,10.363988083744598,0.813,68.1,0.713
_hNaV1.7-alpha-b3_unrelaxed_rank_036_alphafold2_multimer_v3_model_4_seed_015.pdb,80.740625,81.11939130434783,85.0254918032787,85.48208,80.77584,71.61333333333333,63.03,91.52727272727272,90.03109195402298,16.0643261296576,20.86950006588562,15.76806953942048,12.036686047247391,11.41032948691667,12.814044677618382,8.77508045547162,10.523588218853872,0.794,66.8,0.702
_hNaV1.7-alpha-b3_unrelaxed_rank_071_alphafold2_multimer_v3_model_5_seed_012.pdb,80.69377777777777,80.61973913043478,84.62213114754098,83.94,78.19856,76.1775,65.17666666666666,92.06272727272729,87.65936781609196,16.140610800090556,20.71666802359877,15.784258139044734,17.04674083219429,11.751572405427282,12.393666003245368,9.793123812144929,10.349678400800672,0.782,66.4,0.701
_hNaV1.7-alpha-b3_unrelaxed_rank_017_alphafold2_multimer_v3_model_4_seed_014.r3.pdb,80.55668750000001,80.41913043478262,84.87196721311474,84.44936,81.73104,71.845,60.23,91.53,89.38988505747126,16.593955857480157,19.95776402806687,15.543402748433175,18.7371649402998,11.435082728165986,13.019785482103766,9.749894153271615,10.751455482863705,0.808,66.6,0.703
_hNaV1.7-alpha-b3_unrelaxed_rank_088_alphafold2_multimer_v3_model_3_seed_025.r1.pdb,77.39770833333333,77.81495652173912,82.41434426229507,78.78175999999999,76.12328,70.58333333333333,59.60333333333333,85.26136363636364,66.80160919540229,14.640220148617988,19.616882219149915,15.439332887142502,19.1908971650624,11.550694308135766,11.757766497086086,9.604460942707822,10.525805004844049,0.226,62.7,0.62
_hNaV1.7-alpha-b3_unrelaxed_rank_007_alphafold2_multimer_v3_model_4_seed_018.r4.pdb,80.4817361111111,79.632,84.80877049180327,85.73536,81.01272,72.5525,69.10333333333334,91.93272727272728,89.95252873563219,16.157728831738698,20.97094652131849,16.25391229827453,21.669468336809743,12.341398219002578,14.195577268994734,8.502893037078616,10.589204030520897,0.813,66.8,0.704
_hNaV1.7-alpha-b3_unrelaxed_rank_024_alphafold2_multimer_v3_model_4_seed_027.r3.pdb,80.44095138888889,79.64356521739131,84.92950819672132,85.04384,78.58864,72.6775,62.92666666666667,92.51681818181818,89.9314367816092,16.457463534822125,20.64345845540421,15.92759536151016,13.036120780354867,11.65675919799324,12.81152953397837,9.179980718934,10.504391557819996,0.817,66.6,0.703
_hNaV1.7-alpha-b3_unrelaxed_rank_097_alphafold2_multimer_v3_model_3_seed_017.r6.pdb,77.88214583333333,77.66947826086957,82.70418032786885,80.06248,75.19632,70.71249999999999,65.11666666666666,89.58636363636364,66.82982758620689,16.623891301377064,20.883654517349207,16.37853271816496,13.403997761861945,11.601495162262491,12.194841778391387,8.577013174759614,10.520888318008131,0.223,63.0,0.624
_hNaV1.7-alpha-b3_unrelaxed_rank_090_alphafold2_multimer_v3_model_3_seed_027.r5.pdb,79.27559027777778,76.96643478260869,82.80278688524591,80.42416,78.34624000000001,74.21249999999999,74.98,90.66636363636364,68.12333333333333,16.67825632372881,20.97455005476876,16.451578799616772,17.081228702877322,12.38618629764626,12.323341673426084,7.76512169898193,10.571480643694146,0.303,64.0,0.64
_hNaV1.7-alpha-b3_unrelaxed_rank_076_alphafold2_multimer_v3_model_5_seed_026.pdb,80.6909236111111,80.96313043478261,84.85434426229507,84.15624000000001,78.88808,75.70916666666666,62.94,92.13909090909092,87.63344827586207,16.287301556734317,20.73450889218261,15.856506960866254,17.271361874501967,11.545688156190606,12.654109609134892,9.968025531668747,10.400076009337624,0.781,66.4,0.701
_hNaV1.7-alpha-b3_unrelaxed_rank_023_alphafold2_multimer_v3_model_1_seed_012.r0.pdb,69.77220138888889,75.87008695652173,81.62590163934426,73.49455999999999,60.94848,63.07583333333333,47.446666666666665,69.81090909090909,66.24396551724138,14.116145118267946,20.09848474388057,15.132510168508066,12.715568017198445,13.460484723812884,14.976712222647532,11.252536203007748,8.031949701037725,0.312,57.9,0.58
_hNaV1.7-alpha-b3_unrelaxed_rank_077_alphafold2_multimer_v3_model_5_seed_020.r2.pdb,78.73403472222222,79.46878260869565,82.98008196721311,80.83991999999999,79.28048,68.70416666666667,59.64333333333334,88.1540909090909,83.6487356321839,15.463959195497123,20.313666458815355,15.605375932671404,13.612035850672743,10.615486281843149,12.828307020024114,10.570274783561684,10.359766889269276,0.727,64.7,0.682
_hNaV1.7-alpha-b3_unrelaxed_rank_063_alphafold2_multimer_v3_model_2_seed_025.r5.pdb,81.08186111111111,80.68052173913044,85.18573770491803,84.12496,80.0592,75.08833333333332,70.91666666666667,91.19363636363636,89.67781609195403,14.6946345990637,19.75487430990134,15.036541557153358,19.92408012933094,12.34572318659381,12.261979489462538,8.41164484509421,10.51110859995272,0.789,67.2,0.703
